p_bowl,bowl,bowlruns,ballfaced,p_match,bowl_style,economy,outs,average,strike rate
438362,Sandeep Sharma,3050,2346,105,RM,7.8005115089514065,115,26.52173913043478,20.4
32966,Piyush Chawla,2550,1871,93,RWS,8.177445216461786,96,26.5625,19.489583333333332
51433,Samuel Badree,2232,1878,91,RWS,7.1309904153354635,84,26.571428571428573,22.357142857142858
376116,Umesh Yadav,2872,2003,97,RF,8.603095356964554,108,26.59259259259259,18.546296296296298
489889,Pat Cummins,2613,1912,86,RF,8.19979079497908,98,26.663265306122447,19.510204081632654
55870,Sean Williams,1147,982,60,SLA,7.008146639511201,43,26.674418604651162,22.837209302325583
310519,Scott Borthwick,1335,979,57,RWS,8.181818181818182,50,26.7,19.58
298241,Nathan Buck,1202,830,43,RFM,8.689156626506024,45,26.711111111111112,18.444444444444443
267724,Keshav Maharaj,1899,1668,78,SLA,6.830935251798561,71,26.746478873239436,23.492957746478872
659081,Mark Watt,2274,1743,78,SLA,7.827882960413081,85,26.75294117647059,20.50588235294118
451782,James Fuller,2757,1877,100,RFM,8.812999467234949,103,26.766990291262136,18.223300970873787
45390,Tim Groenewald,857,591,32,RFM,8.700507614213198,32,26.78125,18.46875
637158,Imran Qayyum,1125,826,41,SLA,8.171912832929783,42,26.785714285714285,19.666666666666668
42639,Shahid Afridi,2922,2463,115,RWS,7.118148599269184,109,26.807339449541285,22.59633027522936
819429,Azmatullah Omarzai,751,503,30,RFM,8.958250497017893,28,26.821428571428573,17.964285714285715
707193,Brett Randell,805,515,26,RM,9.37864077669903,30,26.833333333333332,17.166666666666668
499660,Gurinder Sandhu,1450,1003,54,RFM,8.673978065802592,54,26.85185185185185,18.574074074074073
1203754,Junaid Siddique,779,591,26,RFM,7.908629441624366,29,26.862068965517242,20.379310344827587
429981,Mohammad Irfan,2205,1899,82,LF,6.966824644549763,82,26.890243902439025,23.158536585365855
605683,Migael Pretorius,1887,1268,61,RFM,8.929022082018928,70,26.957142857142856,18.114285714285714
1094569,Dillon Pennington,1404,944,54,RFM,8.923728813559322,52,27.0,18.153846153846153
631545,Matthew Carter,1701,1330,67,OB,7.673684210526316,63,27.0,21.11111111111111
885181,Dan Douthwaite,1107,738,41,RFM,9.0,41,27.0,18.0
43871,Zulfiqar Babar,784,684,29,SLA,6.87719298245614,29,27.03448275862069,23.586206896551722
348059,Barry McCarthy,2056,1364,66,RFM,9.043988269794722,76,27.05263157894737,17.94736842105263
537126,Barinder Sran,839,583,28,LM,8.634648370497427,31,27.06451612903226,18.806451612903224
362201,Lewis Gregory,3519,2330,140,RFM,9.061802575107295,130,27.06923076923077,17.923076923076923
906749,Dominic Drakes,1489,971,49,LMF,9.200823892893924,55,27.072727272727274,17.654545454545456
12461,Jade Dernbach,1625,1130,53,RFM,8.628318584070797,60,27.083333333333332,18.833333333333332
299572,Sikandar Raza,2006,1594,103,OB,7.550815558343789,74,27.10810810810811,21.54054054054054
352048,Gulbadin Naib,732,556,35,RFM,7.899280575539568,27,27.11111111111111,20.59259259259259
