p_bat,bat,matches,batruns,ballfaced,strike rate,dismissals
380956,Michael Rippon,43,671,536,125.18656716417911,31
5560,Brad Haddin,32,669,486,137.65432098765433,28
848623,Mark Deyal,36,668,505,132.27722772277227,35
233712,Stephan Myburgh,28,668,581,114.97418244406197,30
974719,Muhammad Usman,31,664,580,114.48275862068965,28
440554,Nicky van den Bergh,34,664,520,127.6923076923077,30
4493,Dean Brownlie,31,664,462,143.7229437229437,29
1172968,Dan Mousley,33,663,490,135.30612244897958,30
432960,Simon Harmer,74,662,527,125.61669829222011,47
11995,Wes Durston,22,654,449,145.65701559020044,22
434429,Aamer Yamin,48,650,455,142.85714285714286,38
547756,Brett Hampton,42,645,501,128.7425149700599,38
570421,Will Rhodes,46,643,514,125.09727626459144,40
629076,Sadeera Samarawickrama,29,642,536,119.77611940298507,24
459508,Andrew Tye,85,641,492,130.28455284552845,51
18657,Mark Pettini,25,639,507,126.03550295857988,23
1151288,Sai Sudharsan,19,636,487,130.59548254620123,13
719715,Washington Sundar,57,634,531,119.39736346516007,40
425692,Billy Root,39,634,566,112.01413427561837,30
232438,Gary Ballance,36,634,505,125.54455445544555,34
277797,Kyle Nipper,30,629,529,118.90359168241966,24
595380,Raynard van Tonder,27,627,560,111.96428571428571,23
532856,Manan Vohra,35,624,500,124.8,36
1096123,Luke Hollman,42,623,467,133.40471092077087,33
375126,Hardus Viljoen,61,620,469,132.1961620469083,40
489889,Pat Cummins,50,615,420,146.42857142857142,33
1151270,Ayush Badoni,30,614,473,129.80972515856237,21
961401,Stephen Doheny,25,613,489,125.35787321063394,22
4823,Steven Crook,46,610,467,130.62098501070665,30
556916,Mukhtar Ahmed,20,610,401,152.11970074812967,22
698199,Mitchell Van Buuren,25,610,476,128.15126050420167,20
48472,Tillakaratne Dilshan,27,609,507,120.11834319526628,28
793411,Danish Aziz,33,608,477,127.46331236897275,25
719719,M Shahrukh Khan,40,607,423,143.49881796690306,26
39028,Ashar Zaidi,30,606,412,147.0873786407767,22
362541,Doug Bracewell,32,600,364,164.83516483516485,20
1036191,Bas de Leede,29,594,562,105.69395017793595,21
398666,Sean Abbott,64,594,453,131.12582781456953,50
921509,Ibrahim Zadran,26,593,567,104.58553791887125,21
7252,Tim Paine,26,592,487,121.56057494866529,23
303508,Shane Getkate,44,591,462,127.92207792207792,39
959825,Brooke Guest,39,589,437,134.7826086956522,23
1081730,Matthew Gilkes,30,589,511,115.2641878669276,28
623977,Agha Salman,33,585,495,118.18181818181819,25
278491,Awais Zia,29,584,471,123.99150743099787,26
537319,Kennar Lewis,29,584,439,133.02961275626424,29
959767,Rachin Ravindra,42,584,467,125.05353319057816,32
550187,Zubayr Hamza,22,583,506,115.21739130434783,19
1181700,Tom Prest,28,579,483,119.87577639751552,26
540316,Andile Phehlukwayo,57,577,480,120.20833333333333,41
276843,Aubrey Swanepoel,32,577,432,133.5648148148148,28
45789,Jacques Kallis,25,576,516,111.62790697674419,22
520183,Zeeshan Ashraf,35,574,422,136.01895734597156,34
696145,Nick Welch,29,573,455,125.93406593406593,29
594313,Hanno Kotze,22,573,451,127.0509977827051,17
293831,Regis Chakabva,42,567,480,118.125,41
37004,James Franklin,43,563,465,121.0752688172043,32
328026,Isuru Udana,52,562,410,137.0731707317073,35
41378,Misbah-ul-Haq,26,553,506,109.28853754940711,22
629058,Najmul Hossain Shanto,24,550,485,113.4020618556701,21
755459,Ben Green,38,547,398,137.43718592964825,27
1175485,Abdul Samad,32,547,394,138.83248730964468,24
285687,Jonathan Vandiar,19,542,389,139.33161953727506,16
940593,Aqib Ilyas,18,542,428,126.6355140186916,16
885181,Dan Douthwaite,37,540,365,147.94520547945206,28
5939,Michael Hussey,22,540,447,120.80536912751678,18
530812,Akeal Hosein,53,539,473,113.95348837209302,31
698315,Donavon Ferreira,21,539,351,153.56125356125355,14
297488,Matt Machan,24,531,414,128.2608695652174,18
1093092,Ben Mike,42,530,358,148.04469273743015,25
707177,Josh Finnie,38,528,390,135.3846153846154,33
350126,Luke Wells,32,526,383,137.33681462140993,28
938959,Wessley Madhevere,24,526,435,120.91954022988506,23
764311,Nick Selman,21,526,406,129.55665024630542,21
46248,Albie Morkel,22,522,367,142.23433242506812,16
44149,Johan Botha,40,521,439,118.67881548974943,27
252833,Chesney Hughes,25,520,403,129.03225806451613,23
595406,Shane Dadswell,26,520,370,140.54054054054055,23
50747,Upul Tharanga,25,519,427,121.5456674473068,25
793467,Karim Janat,39,518,465,111.39784946236558,35
35565,Manoj Tiwary,27,518,418,123.92344497607655,22
41046,Khalid Latif,19,516,447,115.43624161073825,15
1129634,Katene Clarke,22,516,354,145.76271186440678,21
1048813,Narayan Jagadeesan,22,515,421,122.32779097387173,18
276297,Akbar-ur-Rehman,23,515,399,129.07268170426065,21
572198,Nick Gubbins,36,515,441,116.78004535147392,36
45204,Robbie Frylinck,33,513,351,146.15384615384616,24
429903,Lesiba Ngoepe,39,513,448,114.50892857142857,31
794713,Kushal Bhurtel,17,512,408,125.49019607843137,14
55872,Malcolm Waller,21,512,348,147.1264367816092,14
1163855,Hayden Kerr,30,510,387,131.7829457364341,24
228622,John Hastings,35,507,316,160.44303797468353,24
938959,Wessly Madhevere,28,507,425,119.29411764705883,24
362565,Craig Meschede,35,504,372,135.48387096774192,27
381002,Graeme van Buuren,30,502,376,133.51063829787233,23
517247,Jonathan Tattersall,34,500,405,123.45679012345678,26
208657,Pieter Seelaar,34,500,445,112.35955056179775,25
352048,Gulbadin Naib,38,500,400,125.0,23
482478,Jan Frylinck,32,500,460,108.69565217391305,22
1127317,Scott Edwards,38,499,426,117.13615023474179,29
623695,Chamika Karunaratne,47,499,414,120.53140096618357,30
698333,Jiveshan Pillay,18,499,434,114.97695852534562,17
594322,Corbin Bosch,34,499,435,114.71264367816092,28
539548,Scott Kuggeleijn,46,497,336,147.91666666666666,27
233482,Tim Ludeman,26,495,446,110.98654708520179,22
930189,Lalit Yadav,30,493,412,119.66019417475728,20
388794,Michael Pollard,24,493,393,125.44529262086515,21
420427,Sese Bau,21,492,430,114.4186046511628,19
486668,Lerato Kgoatle,18,492,384,128.125,16
414966,Michael Leask,41,491,387,126.8733850129199,37
